TestSet2
70,5,8,8
1,1,4,20
2,1,3,53
3,3,4,69
4,3,4,46
5,2,3,11
6,1,2,62
7,1,4,36
8,2,3,17
9,1,4,33
10,2,5,89
11,4,5,4
12,1,3,70
13,2,3,13
14,4,5,73
15,1,3,36
16,1,5,38
17,1,2,30
18,2,5,58
19,1,2,17
20,2,5,58
21,3,4,11
22,3,4,4
23,3,4,23
24,1,4,80
25,2,4,51
26,1,5,63
27,1,2,12
28,1,4,49
29,3,4,8
30,2,4,61
31,1,2,9
32,3,5,22
33,1,2,37
34,3,5,62
35,1,2,30
36,1,2,59
37,2,3,21
38,3,4,94
39,1,2,34
40,2,4,7
41,2,4,57
42,1,4,67
43,3,4,94
44,1,2,21
45,2,4,51
46,3,5,49
47,1,3,66
48,4,5,11
49,1,2,42
50,1,5,66
51,2,3,45
52,1,3,93
53,1,2,67
54,3,5,32
55,2,3,56
56,2,5,28
57,1,2,97
58,1,2,35
59,1,2,7
60,4,5,75
61,1,3,50
62,3,4,3
63,1,2,43
64,1,2,60
65,2,3,63
66,1,2,3
67,1,3,58
68,1,3,80
69,1,4,70
70,2,4,83
