testSet3
225,5,10,10
1,1,2,83
2,2,3,5
3,3,4,91
4,4,5,96
5,1,2,71
6,2,5,95
7,3,4,15
8,4,5,33
9,1,2,22
10,2,3,4
11,3,5,35
12,4,5,71
13,1,2,27
14,2,5,1
15,3,4,97
16,4,5,26
17,1,2,36
18,2,3,72
19,3,4,50
20,4,5,58
21,1,2,33
22,2,3,89
23,3,5,79
24,4,5,31
25,1,2,2
26,2,3,42
27,3,4,6
28,4,5,25
29,1,2,27
30,2,3,67
31,3,4,49
32,4,5,45
33,1,4,86
34,2,3,65
35,3,4,55
36,4,5,84
37,1,4,69
38,2,3,40
39,3,5,68
40,4,5,68
41,1,2,43
42,2,4,2
43,3,4,78
44,4,5,19
45,1,2,9
46,2,3,57
47,3,4,52
48,4,5,11
49,1,2,1
50,2,4,34
51,3,4,48
52,4,5,84
53,1,2,56
54,2,3,54
55,3,4,16
56,4,5,1
57,1,2,45
58,2,3,33
59,3,4,94
60,4,5,86
61,1,2,6
62,2,3,45
63,3,5,59
64,4,5,21
65,1,5,25
66,2,3,65
67,3,4,49
68,4,5,85
69,1,2,52
70,2,5,67
71,3,4,28
72,4,5,29
73,1,2,84
74,2,5,47
75,3,4,50
76,4,5,12
77,1,2,69
78,2,3,89
79,3,5,45
80,4,5,83
81,1,4,57
82,2,3,50
83,3,4,8
84,4,5,21
85,1,5,98
86,2,3,73
87,3,4,17
88,4,5,63
89,1,2,19
90,2,3,23
91,3,4,62
92,4,5,60
93,1,3,70
94,2,5,87
95,3,4,18
96,4,5,45
97,1,2,23
98,2,4,92
99,3,4,78
100,4,5,90
101,1,2,84
102,2,3,6
103,3,4,13
104,4,5,18
105,1,2,99
106,2,4,95
107,3,4,64
108,4,5,41
109,1,2,32
110,2,4,28
111,3,4,24
112,4,5,91
113,1,2,75
114,2,3,11
115,3,4,29
116,4,5,35
117,1,2,5
118,2,5,17
119,3,4,64
120,4,5,37
121,1,2,50
122,2,3,59
123,3,4,41
124,4,5,24
125,1,2,32
126,2,3,40
127,3,4,42
128,4,5,65
129,1,2,60
130,2,3,58
131,3,5,27
132,4,5,76
133,1,2,59
134,2,3,77
135,3,5,30
136,4,5,26
137,1,2,60
138,2,3,57
139,3,4,75
140,4,5,17
141,1,2,67
142,2,3,82
143,3,5,57
144,4,5,71
145,1,2,33
146,2,3,20
147,3,4,45
148,4,5,66
149,1,2,51
150,2,3,11
151,3,4,42
152,4,5,80
153,1,3,85
154,2,3,44
155,3,4,3
156,4,5,27
157,1,3,12
158,2,3,5
159,3,4,90
160,4,5,70
161,1,2,28
162,2,3,68
163,3,4,54
164,4,5,26
165,1,3,56
166,2,3,78
167,3,4,52
168,4,5,38
169,1,2,38
170,2,3,7
171,3,4,58
172,4,5,78
173,1,2,68
174,2,3,26
175,3,4,7
176,4,5,50
177,1,4,6
178,2,3,47
179,3,4,62
180,4,5,83
181,1,5,38
182,2,3,50
183,3,4,27
184,4,5,2
185,1,2,2
186,2,3,69
187,3,5,11
188,4,5,47
189,1,4,10
190,2,3,88
191,3,4,68
192,4,5,21
193,1,2,25
194,2,3,84
195,3,4,97
196,4,5,73
197,1,3,61
198,2,4,5
199,3,4,24
200,4,5,84
201,1,2,82
202,2,3,67
203,3,4,60
204,4,5,57
205,1,2,44
206,2,4,5
207,3,4,25
208,4,5,51
209,1,3,80
210,2,4,92
211,3,4,86
212,4,5,46
213,1,2,60
214,2,3,65
215,3,5,41
216,4,5,62
217,1,2,84
218,2,5,31
219,3,4,11
220,4,5,43
221,1,2,4
222,2,3,89
223,3,4,88
224,4,5,95
225,1,2,3
